,subject,fold,1,2,3,4,5,6,7,8,9,10
189,Sub849_vs_Level118,5,2.2372,0.0043748,0.36404,0.062585,0.42438,0.40253,1.6897,-0.44685,7.6143,3.0504
190,Sub849_vs_Level92,1,1.6035,0.0012493,0.098633,0.052359,0.28979,0.26855,1.4307,1.1719,4.9512,9.9365
191,Sub849_vs_Level92,2,2.5539,0.0027119,0.22946,0.052334,0.34544,0.43908,2.0231,-0.27145,7.101,10
192,Sub849_vs_Level92,3,2.9074,0.0023333,0.073009,0.050666,0.32632,0.59843,2.0219,0.82574,4.6684,8.9498
193,Sub849_vs_Level92,4,2.3865,0.0022587,0.24013,0.052104,0.87118,0.60084,1.0941,0.34203,4.0692,7.1975
194,Sub849_vs_Level92,5,1.8259,0.001,0.14368,0.05,0.43573,0.46143,1.1914,0.18066,4.9451,7.71
195,Sub856_vs_Level110,1,5.4426,0.0010211,0.11466,0.051866,0.71363,1.2772,0.96127,-2.9359,4.8151,9.8711
196,Sub856_vs_Level110,2,8.1702,0.0010683,0.1717,0.050872,0.83996,1.2889,1.0732,-1.7299,5.0034,9.9969
197,Sub856_vs_Level110,3,5.5783,0.001,0.11917,0.05,1.09,1.2299,0.83313,-2.0925,4.0925,10
198,Sub856_vs_Level110,4,8.8884,0.0016081,0.08711,0.093331,1.0459,1.2569,1.3065,-3.8427,6.4445,9.9868
199,Sub856_vs_Level110,5,7.7347,0.0010269,0.12286,0.052466,0.40622,1.3554,1.3506,-4.3073,5.1622,9.956
200,Sub856_vs_Level118,1,2.6631,0.0022366,0,0.056038,0.78362,1.1216,1.1654,-1.4026,5.1089,9.8868
201,Sub856_vs_Level118,2,2.654,0.0020945,0.0028177,0.08402,0.88155,1.1453,1.169,-0.97364,4.8683,9.9174
202,Sub856_vs_Level118,3,1.8958,0.0035033,0.0076225,0.050022,0.74302,0.94481,1.2699,-1.2584,5.3342,9.9987
203,Sub856_vs_Level118,4,3.0173,0.0014918,0.20207,0.051551,0.82918,0.93114,1.7364,-2.4527,7.4874,9.9965
204,Sub856_vs_Level118,5,1.7677,0.0078375,0.32311,0.051655,0.91679,1.1851,1.2669,-4.8744,4.0025,9.8375
205,Sub856_vs_Level92,1,3.673,0.001021,0.073128,0.053017,0.69089,1.0012,1.0265,-3.0269,5.0916,9.7991
206,Sub856_vs_Level92,2,2.2661,0.001,0.005748,0.056474,0.59181,0.80834,1.0269,-2.1833,4.3911,9.956
207,Sub856_vs_Level92,3,4.9542,0.0010137,0.05093,0.054692,0.97817,1.2248,1.2447,-2.6801,6.1612,9.9865
208,Sub856_vs_Level92,4,3.603,0.0010004,7.5377e-06,0.068477,0.87932,1.0658,0.95704,-1.8627,4.5761,8.1555
